Process(_Total) IO Other Bytes sec,Network_I(Intel R _Pro_1000MT) Bytes Received sec,Process(_Total) IO Other Operations sec,Process(_Total) IO Data Bytes sec,Process(_Total) IO Read Bytes sec,Network_I(Intel R _Pro_1000MT) Bytes Received sec.1,Process(_Total) Pool Paged Bytes,Network_I(Intel R _Pro_1000MT) Bytes Sent sec,Network_I(Intel R _Pro_1000MT) Packets Received sec,Process(_Total) IO Data Operations sec,Label
2757.223405,269.7211288,73.34814379,4612.864763,223.3784379,269.7211288,5290808,94.01898431,1.400282745,11.86906327,0
6235.734235,4.266758516,312.0067165,52413.9283,25650.55217,4.266758516,7315456,3.600077498,0.066668102,243.2719035,0
12593.45774,1966.061053,614.7524234,152614.5392,76313.10311,1966.061053,7219000,108.0033539,3.000093163,130.0040371,0
3474.826588,1772.054203,126.8277364,5539.211389,294.4643974,1772.054203,7826136,164.5026423,5.067774955,7.601662433,0
2207.736688,86.53869123,108.0066871,5964.502616,239.4814938,86.53869123,7705160,79.60492861,1.133403506,3.800235285,0
2640.814407,224.6465947,72.68174183,4545.409445,167.2346867,224.6465947,5290176,77.68277911,1.333609942,8.868506113,0
3910.152258,2905.547396,120.8005847,10265.24968,2955.080969,2905.547396,8701264,258.5345846,5.866695061,24.4001181,1
1713.227743,2803.178726,82.20133111,51937.97438,25678.68249,2803.178726,7330616,144.0023319,4.600074491,243.537277,0
2712.909674,1212.048999,91.20368706,284.4114978,148.0726528,1212.048999,4955712,1080.843695,12.26716259,2.933451923,0
17049.98624,82.26724363,849.4726243,5402.304555,240.7350217,82.26724363,7609296,76.80053863,1.066674148,3.933360919,0
4562.720609,156.8639372,227.7293708,906.4508944,93.86503342,156.8639372,8048832,14.9330735,1.999965201,1.19997912,0
1001.594112,91.65392677,52.72600442,4636.955463,144.3799312,91.65392677,4965336,11.46507302,1.333148026,2.399666446,0
11933.1992,3024.998866,555.3875519,8581.874318,3999.310362,3024.998866,7914072,324.65939,7.866490352,18.53291795,0
3220.238736,2640.342096,103.6697918,13446.76638,2788.603917,2640.342096,8689536,125.3650155,6.007908089,19.95960576,1
2376.019068,2877.110612,101.178101,16686.78831,5878.927565,2877.110612,7825336,252.6119913,5.932049401,22.59510951,0
8789.826786,82.26130213,415.2395875,3053.200891,240.7176353,82.26130213,7711800,76.79499194,1.06659711,3.999739164,0
10566.15887,403.1979068,477.3431148,4513.789565,516.6160711,403.1979068,8165792,136.7552351,2.53373912,18.80301136,0
2463.705695,6410.22192,72.94041001,1736.435136,144.414011,6410.22192,5877080,301.3625715,13.66799274,2.866944818,3
5058.490724,968.9719284,256.9571978,7091.685381,451.2581658,968.9719284,7858936,114.3142916,4.59923389,12.73121265,0
4988.945739,82.26687124,203.1338385,1359.336714,95.06690307,82.26687124,7718320,76.80019098,1.066669319,1.466670314,0
8520.331099,86.93263034,393.7968155,793.0602535,95.0658979,86.93263034,7910800,88.46595127,1.133324169,1.399988679,0
1253.170768,520.5878564,59.7986051,1366.501457,145.5966037,520.5878564,6505080,197.0620699,7.333162275,2.599939352,7
4099.204646,3544.004017,138.866824,3069.070145,1506.801708,3544.004017,5860568,207.2669016,7.20000816,4.000004533,3
2312.423756,90.80093283,117.201204,54792.09623,27121.34529,90.80093283,8000280,84.00086297,1.200012328,257.2693097,0
14251.73351,2838.853047,739.562805,56457.15641,25771.89254,2838.853047,7440600,151.694946,5.327302756,244.3234226,0
3233.465998,42.53332454,113.9333098,793.0665028,95.06664702,42.53332454,7783872,69.66665227,0.599999876,1.399999711,0
7216.22344,122.5348634,367.8712602,6267.078255,239.4696568,122.5348634,7901792,88.93444383,1.53335248,4.000049947,0
16272.01538,2926.984068,848.6813771,23210.00231,9000.422674,2926.984068,10123496,422.2739861,9.066823825,12.53355058,4
3619.765144,5926.367118,180.5282701,25297.02384,9906.388825,5926.367118,8352432,148.6624972,5.333183755,15.1995737,0
12759.32627,108.0666069,661.7329672,1028.732764,239.4665342,108.0666069,7620440,76.7999575,1.399999225,3.666664638,0
2207.982175,86.52740967,108.2592552,3062.590335,239.4502739,86.52740967,7927112,79.59455096,1.133255751,4.266374591,0
1909.741991,56.26692174,95.73376733,1028.67133,239.4677523,56.26692174,7702272,57.06692537,0.733336658,3.666683289,0
3563.568319,4346.756232,116.8350277,313.5817487,146.7602573,4346.756232,6037944,165.6884649,7.064753531,2.799241965,3
3118.845509,2672.703359,100.8605189,17912.21242,2555.177765,2672.703359,8697864,155.9422754,6.558945491,16.99971586,1
17910.42973,135.6396059,931.4719836,12170.75378,5527.480654,135.6396059,8023424,88.1590752,1.467095049,13.40391385,0
3270.192389,32.68324775,100.1174589,311.6247622,162.8826347,32.68324775,10209256,13.60690314,0.466903539,3.268324775,6
7009.187103,99.73314982,364.6659957,1048.531404,239.466226,99.73314982,7712904,88.86650315,1.33333088,3.733326464,0
1218.331947,2469.139408,58.21586149,5483.494033,2751.816427,2469.139408,8699216,129.6353204,4.667938493,20.27219003,1
1918.824906,73.33428521,95.13456818,1028.346681,239.469775,73.33428521,8019312,65.46751644,1.00001298,3.666714261,0
6603.826824,82.26617033,339.6646174,1028.727127,239.4652219,82.26617033,7782104,108.7993436,1.066660231,3.666644545,0
3165.324838,6617.193748,74.43742664,29703.40134,11779.38927,6617.193748,10842464,353.2442755,13.67354163,182.6918562,6
2311.932271,84.2385599,109.0772815,31126.8471,15033.75279,84.2385599,7918176,85.50380309,1.065467951,22.30823523,0
3847.639579,1221.745901,148.1348571,75758.31263,37941.32362,1221.745901,7742808,100.9343716,3.133365565,164.8016953,0
8703.193211,155.868933,401.8058423,5161.875054,95.06804896,155.868933,8151776,77.66779596,2.066696716,1.466687992,0
3207.064849,146.7332502,158.9999099,55072.16879,27289.0512,146.7332502,7770592,97.93327784,1.999998867,258.3331869,0
3339.794273,25421.46386,109.1353247,26129.47678,148.0027006,25421.46386,6043992,1059.352663,22.46707662,3.600065689,3
3918.532706,110.7999823,189.733303,6109.732356,239.4666284,110.7999823,8356752,88.26665254,1.466666432,3.866666048,0
7894.817536,3143.75408,409.8029501,35851.59744,17621.19384,3143.75408,7928952,179.625964,7.259632953,47.55392595,0
3462.152614,2806.364194,110.6189261,72521.59478,29703.54587,2806.364194,10693976,256.1350931,7.592147846,356.9641444,6
17455.42477,2940.726276,861.4645992,25168.20626,9148.244711,2940.726276,10213704,451.4655831,8.866645387,15.66662907,4
3845.887258,2617.005367,157.5114223,58000.60337,52819.0299,2617.005367,8850168,132.1578727,6.122116962,23.29066236,1
3162.994295,2601.650142,102.0686339,5645.44214,2829.787873,2601.650142,8565784,151.2029142,5.200100223,20.33372523,1
2867.438781,184.4153569,132.2776819,1256.971339,349.3624259,184.4153569,7820608,56.33802479,1.53346103,9.267438397,0
8933.037605,477.865112,408.3320049,1946.393668,350.5321929,477.865112,8048032,59.1998074,2.799990891,9.533302318,0
1196.121103,2578.461061,49.87171601,12632.479,7017.5105,2578.461061,8563664,121.6123128,5.200526536,18.00182262,1
1379.254988,4589.408836,64.92879076,507678.8795,495345.9315,4589.408836,11068112,226.4865086,8.107791682,133.6456481,6
3091.409732,82.2686998,158.1372414,1028.825426,239.4725848,82.2686998,7702464,76.80189803,1.066693028,3.666757284,0
3885.635594,262.4375518,137.1847807,18039.19873,6863.771866,262.4375518,7928184,124.1195635,1.866459602,22.13087813,0
8428.517769,86.53317354,395.2659367,5387.323385,233.2662359,86.53317354,7606456,79.59985301,1.13333124,3.799992983,0
4680.718123,3076.367153,241.602656,21063.16489,4770.719113,3076.367153,10368368,436.8048019,10.73345133,14.00015391,4
4714.902875,2903.847908,247.6650668,28584.48201,13679.3783,2903.847908,10130064,443.0638045,9.266606804,21.53319423,4
10770.1535,102.3925861,507.4965872,5979.967011,241.915817,102.3925861,8013408,158.3218698,1.333236798,4.199695914,0
14213.97346,2948.430993,735.3937378,25565.98193,8986.341073,2948.430993,10130320,455.9600927,9.452019439,12.71363178,4
6811.794458,7293.13211,211.4685642,70698.2344,39570.75508,7293.13211,10373768,3008.960334,11.60010409,279.602509,2
2190.88563,1214.173563,102.3977705,80800.37404,40465.11894,1214.173563,8318840,110.2642658,2.733273821,177.1294766,0
3349.525062,2400.991124,162.3256011,5145.848318,2555.844277,2400.991124,8558992,100.8780554,4.937153505,15.81223487,1
6577.455718,2646.51591,218.7374033,5525.702815,2767.384825,2646.51591,8557944,143.2693324,5.200096756,19.6003647,1
6747.073358,4488.493151,221.4712629,366.4742722,170.5368725,4488.493151,6038296,200.1374869,8.466842382,3.400070563,3
4575.830738,3125.199858,234.0716493,25931.08532,9144.86133,3125.199858,10282000,418.6089108,10.00021287,15.06698739,4
3418.40784,4477.876936,116.5336006,44692.30249,22777.1189,4477.876936,10849064,257.6005908,8.666686542,273.8672947,6
3205.11739,4473.253988,104.1609804,313.9499974,146.838975,4473.253988,6036584,200.1197838,8.202177077,2.800743392,3
10335.9282,216.4124553,487.0280301,2545.279823,1633.960707,216.4124553,7851328,47.7360807,2.066785617,9.667223048,0
11209.80731,90.79411957,529.1657277,5767.493125,95.06050991,90.79411957,7697832,90.39414547,1.199922285,1.666558729,0
16919.10786,99.73200424,881.5215856,5963.987187,239.4634754,99.73200424,7709504,88.86548239,1.333315565,3.799949359,0
35535.19726,0.0,54.1258149,302.7579449,144.3799447,0.0,4990520,0.0,0.0,2.39966667,0
13805.64028,77.99947428,667.2621693,792.7279903,95.06602592,77.99947428,8333120,105.9992856,0.99999326,1.399990564,0
7597.508494,4556.972535,325.102999,49686.05305,24850.023,4556.972535,10785040,233.1492915,7.99597456,253.5390267,6
21861.19754,3005.817995,1149.940218,30157.38054,9270.855502,3005.817995,9983312,441.7359779,10.133394,20.266788,4
6265.385348,99.32993029,281.3236952,59444.09678,27269.13243,99.32993029,8142576,99.86324535,1.333287655,258.991127,0
4227.657116,2932.121331,217.4558881,12140.59823,4644.303131,2932.121331,10039264,385.0475811,8.999553922,8.799563835,4
2822.141254,0.0,92.93359417,2675.60751,146.800412,0.0,6408112,0.0,0.0,3.400009543,0
6914.154246,168.002128,308.870579,1896.757359,296.870427,168.002128,8041400,35.73378596,1.8000228,6.933421157,0
1893.710142,95.46549753,95.59882923,1028.654069,239.463734,95.46549753,7607352,86.06561265,1.266651154,3.666621763,0
2436.017915,2595.943671,122.394201,5447.408568,2733.603815,2595.943671,8697136,135.9935566,5.266417144,21.2656591,1
7436.35491,2981.128473,317.4590498,13724.07071,6292.982344,2981.128473,7929376,252.3939442,6.533176581,31.06592129,0
10666.46542,91.20055936,509.2697902,1599.40981,240.7348098,91.20055936,7703504,83.26717737,1.20000736,3.933357458,0
3178.409441,588.8264501,163.7406886,4637.80833,144.4064867,588.8264501,6402328,51.60231798,9.200413283,2.400107813,0
4431.222511,2940.481604,223.8678039,20452.23723,9000.312388,2940.481604,10128424,414.5354392,9.533381763,12.60006401,4
8853.483193,2506.842432,401.4734623,4940.9503,2477.508603,2506.842432,8695952,139.602363,5.06675243,14.86691831,1
3856.547037,12.79960296,111.9298613,4379.530814,2.399925554,12.79960296,4982584,49.33180306,0.133329197,0.466652191,0
1585.283279,6851.712493,66.21461666,9862.177043,2754.474708,6851.712493,8700304,154.4340908,72.01589727,19.67100898,1
4418.80542,2891.803547,233.0669526,25110.96414,9144.677884,2891.803547,10126376,424.6671876,8.800010795,15.0000184,4
2064.877155,22973.64163,63.39827514,20268.11524,144.3960715,22973.64163,6187024,671.1150745,20.93276382,2.399934706,3
12316.24211,0.0,971.9192613,46788.35118,46788.35118,0.0,5046248,0.0,0.0,42.3064101,0
7269.264264,139.8756001,331.9545342,1092.203089,240.7487092,139.8756001,8068144,76.80490527,1.533431268,4.066926408,0
8627.226521,282.5320186,445.6645928,5397.374884,239.4655524,282.5320186,8024424,98.33287576,2.866653327,3.733315961,0
1237.072275,4690.754598,50.20022757,21043.82873,8320.304385,4690.754598,11107216,364.8016538,10.73338199,143.600651,6
3472.928692,191.9551855,129.8147781,2876.327441,240.7607415,191.9551855,8180032,139.7492424,2.266924733,4.400500953,0
3224.010897,4450.281709,103.067015,284.8676295,148.0671671,4450.281709,6041584,192.8673186,8.3333615,2.933343248,3
4778.384199,2894.257096,248.7325109,30159.63361,13644.75488,2894.257096,10214208,404.5319957,8.599971563,21.1999299,4
7359.208635,4398.738495,314.2670354,20148.69031,7891.742593,4398.738495,10970088,257.400302,7.733342407,134.7334914,6
4969.221964,2793.745682,252.7344504,205142.3067,102280.8521,2793.745682,7347320,158.4007001,4.666687293,202.4008946,0
6753.969372,2984.24538,287.2710351,29520.44891,13517.53889,2984.24538,10218120,421.6064112,9.466810625,15.73357259,4
3217.620503,6769.954099,98.96677223,11503.75355,3573.60745,6769.954099,8700968,135.645832,72.02433558,18.13946229,1
3026.457644,226.2043084,98.60187804,284.4720849,148.0694869,226.2043084,5534488,0.0,1.666698412,2.933389205,3
531.93722,2839.220745,12.00008768,4611.76703,148.8010872,2839.220745,7924424,185.4013547,6.733382532,3.933362073,0
5366.39517,113.8665642,234.399789,57957.54784,27235.37549,113.8665642,7911080,85.33325653,1.533331953,259.1997667,0
12171.88428,201.5336249,629.4675773,1594.268973,239.4670131,201.5336249,8130888,91.06679841,2.333336709,3.733338734,0
12981.96921,15143.89736,624.8177698,278.7412607,146.8708437,15143.89736,6398632,874.5582058,236.5400605,2.733411072,0
4725.656305,2995.8845,234.9961696,21557.91527,9144.517611,2995.8845,9981552,428.5263484,10.3331649,14.9997555,4
3902.256814,298.029797,134.8134787,6425.975802,460.4460354,298.029797,7936656,96.80967903,2.00019998,15.20151985,0
8042.015062,2602.361728,359.0613861,5494.58586,2754.492824,2602.361728,8562808,139.597947,5.799914703,20.06637156,1
10158.38314,91.19386387,479.1010962,5161.519365,95.06027038,91.19386387,7900632,83.26106431,1.199919261,1.466567986,0
1240.69992,2553.257877,58.60525656,5485.984789,2752.981927,2553.257877,8564472,122.2718762,5.127959949,20.84482421,1
5830.967002,78.00580155,246.6850135,1359.434439,95.07373762,78.00580155,7612368,74.00550404,1.000074379,1.466775756,0
5506.236309,2568.452506,283.4651038,5564.635987,2792.384605,2568.452506,8563384,125.9993053,4.933306134,19.26656044,1
2370.635457,36.74318247,162.0434363,64636.19261,58082.7026,36.74318247,5512520,6.134977835,0.133369083,15.00402188,0
4918.579447,341.8559711,250.9921473,1028.634484,239.4591748,341.8559711,7602232,91.06381758,3.933210276,3.666551952,0
3080.802793,86.53341179,99.40009012,1901.668391,238.5335496,86.53341179,10281240,49.46671152,1.066667634,5.200004715,6
1206.324112,4558.451803,47.5129863,0.0,0.0,4558.451803,5870152,196.9726043,8.850458232,0.0,3
20105.77518,3026.94608,999.9155215,20801.69612,9148.103708,3026.94608,10213536,450.1253151,10.26648379,15.59972212,4
7451.037906,99.73294836,339.1320243,54965.32117,27207.02831,99.73294836,7688160,86.06633445,1.333328187,258.2656698,0
3006.440988,2160.429454,63.60086709,1440.819643,184.402514,2160.429454,10213040,242.0032993,8.000109068,3.733384232,6
6502.340958,3928.854563,316.8947165,12531.60623,6014.200443,3928.854563,7825472,202.8419483,6.532537278,23.73044154,0
4741.38079,162.5509593,245.5599602,28236.59512,24943.90475,162.5509593,7931240,31.47007907,1.26680403,7.000759116,0
3302.205416,2078.603409,105.5335064,156636.9902,76131.05819,2078.603409,7212680,168.1336091,3.66667268,131.3335487,0
9158.327228,152.0665653,417.2663885,55404.4964,27117.98192,152.0665653,7907808,100.5332663,2.066665289,256.3998291,0
9056.137479,282.9459603,423.8855833,1033.24611,240.7440769,282.9459603,7817552,77.00343641,3.200142812,3.866839231,0
10434.72146,84.66602941,539.329274,1594.388,239.4648643,84.66602941,7967360,76.13276031,1.133324803,3.733305234,0
10864.9069,15868.69472,553.3986534,153061.7609,73789.15378,15868.69472,7404400,305.9992554,14.26663195,345.5324925,0
3338.641739,4551.070606,105.9643115,53668.42619,26841.13974,4551.070606,10778552,250.158362,8.192086936,315.3620459,6
7095.601497,1495.305551,311.5942106,382.6595569,146.7972725,1495.305551,6403280,1179.844745,23.33289981,2.933278833,0
3229.204769,4399.788164,104.8044821,279.6119581,146.8062784,4399.788164,6172304,183.6078523,7.800333594,2.733450234,3
7876.307466,2547.613197,342.8017757,5454.29492,2734.28083,2547.613197,8558424,126.0006527,5.0000259,19.53343452,1
3591.955915,4504.411383,115.5319154,17912.91348,8229.632328,4504.411383,11104000,239.9970544,7.199911633,142.1315889,6
2206.469949,95.46392431,108.9302041,5963.828679,239.4597878,95.46392431,7902704,86.06419433,1.266630281,3.799890842,0
4738.435759,3013.089405,231.268412,21289.494,9000.334589,3013.089405,10120968,445.8700315,9.733406788,12.66676226,4
3596.488689,174.1311718,127.5984161,1368.249682,97.19879344,174.1311718,8127248,86.13226414,1.799977656,1.599980139,0
1440.626147,7064.334637,62.19825057,42871.46084,145.5959049,7064.334637,6407568,5782.237365,109.9969062,5.133188954,0
2667.409692,2965.677442,115.4004193,1311.871433,404.2681355,2965.677442,7974216,233.1341804,6.800024707,12.06671051,0
3560.040041,121.4725824,177.3419699,5963.690432,239.4783293,121.4725824,7966480,80.40391567,1.666747837,3.800185069,0
1160.273891,2571.616013,46.20028767,5222.965855,2594.416155,2571.616013,8690432,114.4007123,5.333366542,17.26677418,1
1367.988171,3980.832246,54.53286181,5230.221443,2596.37755,3980.832246,8698224,132.3988552,26.39977173,15.99986165,1
1257.724789,138.132395,54.53296287,6220.557742,255.5315974,138.132395,5420456,55.59962229,0.799994565,8.733274005,0
9566.026275,2762.407587,440.5345433,61434.76874,30431.28358,2762.407587,7295824,144.0003955,4.533345785,254.2006982,0
2449.327071,124.4595733,114.1268289,59834.58983,27202.71629,124.4595733,8098848,138.9254155,1.599908816,257.785308,0
1323.475234,4824.8979,52.20033791,58959.84833,27278.30991,4824.8979,10759888,442.0028612,11.66674219,329.5354665,6
2117.602593,110.7369552,91.73633372,1646.053837,148.8048669,110.7369552,8243256,28.53426659,1.066701555,4.066799678,0
6677.071222,2648.015595,344.8600155,5554.826199,2787.546238,2648.015595,8566200,117.9977242,6.133215044,19.13296432,1
12462.55274,86.53161655,610.0545632,1052.979109,240.7285573,86.53161655,7919920,79.59842077,1.133310848,3.933255298,0
1271.075157,4375.095892,52.26701581,77.66718548,73.66715876,4375.095892,6039096,172.001149,7.866719216,3.800025384,3
15330.76436,2883.022946,743.1736183,1322.071665,406.7553822,2883.022946,7819536,242.7464918,6.400346941,12.46734248,0
3291.896579,69.06729426,114.8677104,4367.839689,96.26754142,69.06729426,8387096,57.06718522,0.933341814,1.666681811,0
3384.229198,87.52259514,154.8118299,1643.294961,148.5554619,87.52259514,8002752,37.07230836,0.665571066,4.059983501,0
10800.12859,2578.030696,554.3399337,5240.595731,2603.230996,2578.030696,8559832,132.4015765,5.333396836,17.40020718,1
3477.624065,2893.353355,164.5344719,1256.875364,349.3357507,2893.353355,7822264,202.6680691,5.933374392,9.266730792,0
1862.74828,32829.97172,89.27057791,182203.1163,90826.91276,32829.97172,7773072,481.6211014,23.66770363,375.7497962,0
1191.036994,2642.800826,56.66525495,5533.462143,2776.597492,2642.800826,8702160,118.7970404,6.06651553,19.13285667,1
9366.420697,6108.094776,468.4743271,11588.15803,5489.727326,6108.094776,7920832,145.5609518,6.198337234,16.79549444,0
5839.26975,140.1446075,277.5556618,59787.60971,27151.51758,140.1446075,7683392,128.8103624,1.866816846,257.6873968,0
3177.393068,2517.447328,103.2686081,5617.038934,2815.652934,2517.447328,8563800,126.0023688,4.533418562,20.33371561,1
5416.606545,160.7533128,258.6988195,6015.814352,148.8184962,160.7533128,7988936,68.60852713,1.600198883,4.133847115,0
8604.039865,2594.145353,387.5351289,5578.959183,2796.679625,2594.145353,8562232,121.6005634,5.200024093,19.26675594,1
8413.990296,216.6698503,384.6056511,1033.281849,240.7368706,216.6698503,7724528,141.2687424,1.533355863,3.866723482,0
2065.912722,5366.57328,99.99577551,75540.27534,37495.48261,5366.57328,7885784,216.1908667,4.799797225,275.1883742,0
5723.683489,78.00113778,291.0709124,1633.957167,239.4701597,78.00113778,7918696,74.00107943,1.000014587,3.866723069,0
17391.13264,2818.167478,852.5901611,13322.84625,6182.461988,2818.167478,7848336,194.5310884,6.066596658,25.1330433,0
26723.2366,2962.455943,1278.06204,29080.29473,13500.35113,2962.455943,10212432,405.4651989,9.9999638,18.79993194,4
7641.728616,181.6014722,390.7365009,11658.16118,5524.178116,181.6014722,7847528,37.00029995,2.000016213,15.86679529,0
11569.88253,5343.845946,533.563829,4158360.381,2356479.587,5343.845946,10784336,421.9661841,10.52433306,418.19331,6
6466.782669,23739.13638,295.4658748,35255.83885,10105.03959,23739.13638,9765208,470.9987377,21.59994211,10.13330618,4
1263.454605,300.8637944,53.99948448,383.9296681,255.5308939,300.8637944,5300200,53.99948448,1.599984725,8.133255688,0
14284.41717,2865.616614,733.1205282,230579.1059,113162.6901,2865.616614,7217832,199.9298412,5.399905682,180.5301801,0
7432.873449,2453.201581,380.0772404,51797.17433,25623.64618,2453.201581,7480824,138.9371986,5.066807625,243.1400975,0
9069.362039,103.0685082,421.940872,792.7474971,95.06836522,103.0685082,8346112,78.33473291,1.400025014,1.400025014,0
4515.539251,82.26555992,233.7301889,55130.05832,27290.29952,82.26555992,8012024,76.7989668,1.066652317,258.8631841,0
975.2788348,0.0,53.66366794,1736.302975,144.3919314,0.0,4990128,0.0,0.0,2.866506486,0
6710.145168,26541.05276,208.3962266,20321.09872,168.1302891,26541.05276,5865848,660.8547008,26.66618383,2.999945681,3
10702.20107,215.2067245,508.3492176,5968.786505,240.7408557,215.2067245,7814904,71.33556233,2.733418744,4.000124991,0
3181.799324,2567.786589,102.7354641,9951.339724,2798.058032,2567.786589,8698192,145.0030074,4.666763455,21.0671036,1
15841.2574,2834.634129,820.6098801,9492.78096,4572.588387,2834.634129,10124616,401.2048305,8.333433668,9.866785463,4
3454.967491,2598.092353,111.6677707,9862.230838,2753.760559,2598.092353,8559824,122.4012101,5.466720714,19.86686308,1
14604.37114,124.3342227,711.2050875,1032.807388,240.7350554,124.3342227,8360760,131.6009414,1.533344302,3.866694326,0
9440.98302,92827.44422,529.9953042,2099261.934,1392855.459,92827.44422,10213096,2885.30777,74.26600867,989.2579018,4
12166.61612,162.2304352,583.6029953,55501.9379,27172.79808,162.2304352,7890792,86.0474494,1.932901652,258.1423482,0
10978.54387,78.00007488,522.6005017,792.8007611,95.06675793,78.00007488,7992224,74.00007104,1.00000096,1.400001344,0
9693.856145,135.2091519,499.3004627,1594.374585,239.4828765,135.2091519,7884464,92.53959703,1.866793024,3.733586047,0
4810.436163,104.3978912,246.9950107,1028.312561,239.4618295,104.3978912,8016520,65.86533619,1.466637041,3.666592601,0
5890.706927,2575.9593,295.6619952,5793.775125,2754.22315,2575.9593,8565112,125.9980092,4.266599254,19.66635594,1
4151.056593,137.0663341,157.5996176,5727.719434,95.06643597,137.0663341,8128216,88.26645247,1.733329127,1.533329612,0
16731.70842,82.26326645,870.6306806,1594.867412,239.4567691,82.26326645,7830016,76.79682573,1.06662258,3.733179029,0
3176.003134,2555.602522,103.2667686,9888.809757,2767.069397,2555.602522,8558840,128.8001271,4.866671468,19.60001934,1
5874.09614,2663.248166,281.2749926,4770.296863,2368.213719,2663.248166,8697648,154.5954039,6.019761129,12.50258081,1
12791.61241,4606.252481,604.3402188,15198.50649,5457.928851,4606.252481,10957520,238.4027162,8.200093426,53.86728039,6
8914.459819,182.4651619,418.9965447,15806.00299,5442.821782,182.4651619,8136840,89.13259829,1.93331739,13.06655891,0
6909.109951,95.46542243,358.5953263,1048.519668,239.4635457,95.46542243,7782104,94.06544068,1.266650158,3.733284676,0
4282.801542,71.86669254,215.0667441,5964.068814,239.4667529,71.86669254,7823456,103.8667041,0.933333669,3.800001368,0
1909.910171,90.79572957,95.79549442,1028.684951,239.4554043,90.79572957,7704704,82.39612464,1.199943563,3.666494219,0
2571.253671,0.0,89.13519388,284.4059365,148.0697574,0.0,4960704,0.0,0.0,2.933394563,0
3441.456262,2544.224213,111.8039936,9975.889672,2810.367053,2544.224213,8693000,146.8052439,4.333488126,21.20075729,1
4151.547452,3550.423536,139.5668566,44.78936372,21.06166508,3550.423536,5862968,201.9520418,6.731734726,0.533206711,3
6134.994765,124.8652032,300.596477,961.3887325,148.7982561,124.8652032,8151184,110.5320379,1.266651822,3.999953121,0
5630.527396,125.2501539,238.3750269,5983.559612,240.5735668,125.2501539,7912224,142.7052285,1.46569329,4.063967759,0
3114.901811,2484.794199,99.90161993,5753.585881,2855.838292,2484.794199,8565552,118.9209664,4.20427659,19.28628468,1
2606.848381,79.07217852,89.40623221,279.1527921,146.8102337,79.07217852,4964440,0.0,1.200083654,2.733523878,0
